Daily NVDA and Factor Returns,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date,NVDA,Beta,Dividend Yield,Earnings Yield,Excess Beta,Growth,Leverage,Liquidity,Market,Mid Cap,Momentum,Quality,Semiconductors,Size,Value,Volatility
09/30/22,-0.00662845,-0.00021071,-0.00042876,0.00161815,-0.00078415,-0.00047258,-0.00258544,0.00088621,-0.01300890,0.00062982,0.00280467,-0.00195442,-0.00415834,-0.00256671,0.00021954,0.00302335
10/03/22,0.03072737,0.00294253,-0.00124581,0.00410006,-0.00000555,-0.00031753,0.00210414,-0.00157252,0.02624685,0.00229409,-0.00172566,0.00320303,0.00749533,0.00026859,0.00106357,-0.00145278
10/04/22,0.05234975,0.01333182,0.00186956,-0.00158890,0.00069985,-0.00182512,0.00430538,0.00033106,0.03377734,0.00143716,-0.00242852,-0.00553488,-0.00209620,-0.00037766,0.00028484,-0.00067117
10/05/22,0.00318980,-0.00163230,-0.00107587,0.00259909,-0.00119764,-0.00005556,-0.00085622,0.00044967,-0.00239005,-0.00120089,0.00121537,-0.00055132,0.00899245,-0.00022627,-0.00171003,-0.00488857
10/06/22,-0.00598072,0.00040416,-0.00246331,0.00047996,-0.00102749,0.00091904,-0.00335078,0.00111125,-0.00985330,0.00027774,0.00071295,0.00014704,0.00033536,-0.00238623,0.00055430,-0.00022743
10/07/22,-0.08027421,-0.01129891,-0.00049699,0.00017136,-0.00143888,0.00039084,0.00224207,0.00044156,-0.02854401,0.00108139,0.00368882,0.00191090,-0.01814498,-0.00072029,0.00084631,0.00100502
10/10/22,-0.03362043,-0.00561299,-0.00088805,0.00217757,-0.00105213,-0.00200746,-0.00165168,-0.00116723,-0.00895137,0.00018822,0.00090409,0.00357142,-0.01444208,-0.00036005,0.00004813,0.00428438
10/11/22,-0.00719786,-0.00387425,0.00253168,-0.00372282,0.00225390,-0.00257260,0.00008608,0.00051550,-0.00721391,-0.00030673,0.00220403,0.00031361,-0.00470641,-0.00398544,0.00030872,0.00024957
10/12/22,-0.00742278,0.00106192,0.00107678,0.00357980,-0.00050508,0.00040154,-0.00087893,0.00104519,-0.00332083,-0.00024988,-0.00255665,-0.00190782,-0.00898624,0.00078311,-0.00011657,0.00225866
10/13/22,0.04000001,-0.00046031,0.00118272,0.00132864,-0.00113017,-0.00132465,0.00043506,-0.00011188,0.02371005,-0.00324007,0.00205611,0.00277360,0.00751438,-0.00003445,0.00301887,0.00006716
10/14/22,-0.06128765,-0.01111120,0.00149250,0.00025810,-0.00199438,0.00040287,0.00208043,-0.00151889,-0.02451099,0.00024555,-0.00190202,0.00139452,-0.00688167,0.00001188,0.00155125,-0.00065017
10/17/22,0.05887592,0.01196316,-0.00146771,-0.00022262,0.00013765,0.00202333,-0.00057085,0.00121659,0.02729371,-0.00267697,-0.00163769,0.00131005,-0.01627648,-0.00218220,-0.00165298,-0.00469744
10/18/22,0.00664539,0.00047012,0.00003230,-0.00161388,-0.00074425,0.00109393,0.00226314,0.00111504,0.01201121,0.00155259,0.00025890,-0.00117437,-0.01016171,0.00030798,0.00014342,-0.00094381
10/19/22,0.00701931,-0.01008091,-0.00077834,0.00237163,-0.00119383,0.00274220,-0.00148167,0.00089920,-0.00931962,-0.00454943,0.00128057,0.00157669,0.02127562,0.00153650,0.00022717,-0.00006063
10/20/22,0.01186620,0.00175516,0.00016271,0.00117156,0.00248330,-0.00014143,0.00130099,-0.00145976,-0.00736567,-0.00145672,0.00008249,-0.00229775,0.01224843,0.00215634,0.00217637,0.00218718
10/21/22,0.02230606,0.00441838,0.00001089,-0.00061540,-0.00121209,-0.00037273,0.00035426,-0.00017360,0.02300853,-0.00179615,0.00316063,0.00263617,0.00925066,0.00052702,0.00210317,-0.00194672
10/24/22,0.01066903,-0.00142719,-0.00026765,0.00297611,-0.00011420,-0.00170837,0.00038912,-0.00130002,0.01009642,-0.00050080,0.00078053,0.00322804,-0.00378087,0.00211916,-0.00021460,0.00027321
10/25/22,0.05254386,0.01320555,-0.00089755,-0.00000672,0.00259153,-0.00046667,0.00052985,-0.00253651,0.02028981,0.00235348,-0.00589244,-0.00167376,-0.00619646,0.00086468,-0.00038528,0.00586209
10/26/22,-0.02752435,0.00138270,0.00102315,-0.00306152,-0.00015754,-0.00306780,0.00214509,-0.00082106,-0.00233056,0.00059023,0.00230699,0.00099757,-0.00903713,-0.00076690,0.00109593,0.00331660
10/27/22,0.02171218,-0.00462365,0.00095647,0.00082816,0.00203959,0.00097992,0.00254946,0.00048349,-0.00382932,0.00229388,0.00005845,-0.00048094,-0.00496456,-0.00270819,-0.00132921,-0.00067303
10/28/22,0.04993932,-0.00002098,0.00128828,-0.00258963,-0.00107431,-0.00227272,-0.00174751,-0.00011124,0.02186842,-0.00241318,-0.00007967,-0.00008083,0.01913203,-0.00159241,0.00000256,-0.00131082
10/31/22,-0.02436030,-0.00234271,-0.00023309,0.00014514,0.00016182,0.00140260,0.00090470,-0.00039151,-0.00612740,-0.00023533,0.00062973,-0.00011274,-0.00951100,-0.00121815,-0.00065751,0.00268364
11/01/22,0.00340814,-0.00025304,-0.00031830,0.00155847,-0.00018005,-0.00108031,0.00150832,-0.00107653,-0.00083557,0.00115506,-0.00091812,-0.00056058,0.01020467,-0.00111021,-0.00021374,0.00074540
11/02/22,-0.02392377,-0.01270106,-0.00034334,-0.00203977,0.00216969,-0.00194431,0.00175050,-0.00173322,-0.02602683,-0.00070813,0.00115502,-0.00277219,0.01743074,0.00243179,0.00193711,-0.00073134
11/03/22,0.01528104,-0.00158474,-0.00100357,-0.00062877,0.00300074,0.00234379,-0.00009159,0.00095124,-0.00829500,0.00032918,0.00007204,-0.00032224,-0.00312991,-0.00016516,-0.00267501,0.00188912
11/04/22,0.05476489,-0.00097223,0.00208313,0.00565509,-0.00493116,-0.00355042,-0.00061256,-0.00088550,0.01202323,-0.00498363,-0.00227105,0.00300473,0.03076079,-0.00152435,-0.00175544,-0.00490647
